视频bvid,视频aid,videos,视频分类,版权所有,视频封面,视频标题,上传时间,公开时间,视频描述,播放量,点赞量
BV1GZ4y127U6,383003838,1,单机游戏,1,http://i0.hdslb.com/bfs/archive/a611c85d35d2c6309dadd398a6e802a6af40c3af.jpg,让 我 看 看,1649473804,1649473800,"游戏：Do Not Feed the Monkeys
网络不是法外之地，尊重隐私尊重彼此！

还要感谢重量级嘉宾翠花不太脆帮忙参与配音！！！
如果喜欢，希望可以三连支持！谢谢啦！！！",9974892,902390
BV14Y411E74z,255582553,1,手办·模玩,1,http://i0.hdslb.com/bfs/archive/47327d629e6704da499cac693d06bac1ad1f1708.jpg,《武林外传》！！！它终于来了！,1649501416,1649501416,"设计原型：《武林外传》——同福客栈——大堂+灯市街+东街
零件数量：6514 pcs
零件种类：572种
长宽高：67cmx65cmx20cm
重量：6.3kg
现存套装：1
是否绝版：✔
设计软件：乐高ldd",5449034,642920
BV1LY411E7UY,255552873,1,MV,1,http://i1.hdslb.com/bfs/archive/7666641e231af7aaee3b93b586b8d3d8be0d0474.jpg,【凤凰传奇翻唱孤勇者】去吗？去啊！！战吗？战啊！！！,1649404886,1649406600,"孤勇者（《英雄联盟：双城之战》中文主题曲）
词作者：唐恬
曲作者：钱雷
原唱：陈奕迅
出品监制：霍锦、卢泓宇
联合出品方：拳头游戏、腾讯游戏、腾讯视频
OP/SP：北京梦织音传媒有限公司；索尼音乐版权代理（北京）有限公司",8922632,720175
BV1yS4y1w7V1,683200001,1,数码,1,http://i2.hdslb.com/bfs/archive/540796138b250857332e2971e6cfff0dea48f4c9.jpg,无人机扫描整座山！耗费30天，用10000张照片还原世界文化遗产,1649763927,1649764466,在跑通摄影测量全流程后，我们奔赴河南老君山和湖北武当山，用摄影测量这一技术去数字化记录世界文化遗产。如果你也喜欢我们这次的尝试，记得一键三连！,3190906,296387
BV1yS4y1Y7s3,725719356,1,社会,1,http://i0.hdslb.com/bfs/archive/76eb2139b532b5613f6f1bdbf187982fa389d29f.jpg,【谭乔寻人记】气 球 飞 走 了,1649849384,1649849384,你们的谭sir我，本来计划为气球哥找工作，也在帮他打造个人账号，不过如果气球哥有了更好的选择，并能够被相关机构扎扎实实的被打造成大家喜闻乐见的【草根歌星】，我们也送上祝福。,3119582,329933
BV1tu411v77g,510624331,1,校园学习,1,http://i1.hdslb.com/bfs/archive/0fd74da92d1076ef8f96e6ac3415952917a3d300.jpg,这些up主是中学生和大学生的救星啊啊啊啊啊！！！学习方法｜免费课程｜兴趣技能｜生涯规划,1649414008,1649414008,"学习方法：YJango；中学语文：学过石油的语文老师、国家玮-开明致学、中文系五匪子；中学数学：一数、佟大大还是ETT、分析师凯子巨人；中学英语：英语兔、英语的平行世界、Free高考英语；中学物理：HuangFuRen、一只不像老师的小怀怀；中学化学：化学超人、化学老师李政；中学生物：汉水丑生侯伟、李林生物；中学文综：段sir是懂王；中学历史：历史老师定哥；中学地理：地理安迎老师；中学政治：Koi大大；大学数学：宋浩老师官方、考研数学课程（没咋了）；大学英语：我是瑞斯拜；大学物理：物理系的允文君；大学编程：黑马程序员、尚硅谷、王道论坛；软件操作：GenJi是真想教会你；大学攻略：取景框看世界

注：以上推荐基于b站公开视频",4866192,518050
BV1C94y1Z7qL,340508580,1,日常,1,http://i1.hdslb.com/bfs/archive/76d08c2502325892ac35da6549a9b4b5fe68a7f6.jpg,崩溃了，不想当楼长了......,1649589007,1649589007,加油！本期点赞过15W，拉楼长想办法在小区组个相亲局！,5746148,466138
BV1mF411u7Lu,298059924,1,美食制作,1,http://i0.hdslb.com/bfs/archive/2e5f73949e1af030de683c7e0dcebc4107b5da8a.jpg,帅小伙耗时78天宅家自制臭豆腐，最后成品惊艳了！,1649496609,1649496600,"好久不见
谢谢观看",5246787,544799
BV1c5411S7QF,468173571,1,综合,1,http://i2.hdslb.com/bfs/archive/39efafe18c6303e9a09d4f8fb65fe3cb19d3d435.jpg,这就是jojo吗？,1649756535,1649756535,"“新番”来袭，这DNF完全紊乱了！
up最喜欢的动漫就是蜡笔小新和jojo了，这回是直接连到了一起，双厨狂喜~
制作辛苦，求关注、求三连~
求审核大大给个好点的推荐，爱你，么么哒~
本视频只在B站发布~",15164719,694981
BV1DF411u7V8,298067840,1,人力VOCALOID,1,http://i0.hdslb.com/bfs/archive/4473145ea3e3c58bcf4b2330819909eeb3acc0dd.jpg,孤勇者，但是听我说谢谢你❤,1649600685,1649600685,陈奕迅：我特么谢谢你,4350439,292742
